id,complex,feature1,feature2,ans
53,0.9342658468101904+2.154413301643193j,0.934265847,2.154413302,0.461233278
54,0.7218641657422297+1.9917374184110175j,0.721864166,1.991737418,0.547125781
55,0.40067706724066465+2.610678201730539j,0.400677067,2.610678202,0.611491228
56,2.003817423967403+1.8247116592936647j,2.003817424,1.824711659,-0.058241733
57,1.26811552685461+1.452876350765501j,1.268115527,1.452876351,0.114285163
58,2.3750175403272618+1.4922935670006305j,2.37501754,1.492293567,-0.264030084
59,0.1936116557169979+1.3329023798169883j,0.193611656,1.33290238,0.572222064
60,0.20561863472896058+1.2074108784162287j,0.205618635,1.207410878,0.51119014
61,0.7640340770475536+0.19840412618153158j,0.764034077,0.198404126,-0.269630668
62,1.5883992956145447+1.0959440114735637j,1.588399296,1.095944011,-0.294063607
63,2.8060200433896463+2.3301009043274448j,2.806020043,2.330100904,-0.097003439
64,1.02630306545695+0.5744448547557077j,1.026303065,0.574444855,-0.588389086
65,2.1655171818040353+1.7193622442817396j,2.165517182,1.719362244,-0.139400699
66,2.046986726271469+1.7852653530251223j,2.046986726,1.785265353,-0.084666949
67,2.5636981460565393+1.0792532857520327j,2.563698146,1.079253286,-0.427768815
68,2.621043119630391+2.3413745197845754j,2.62104312,2.34137452,-0.06029999
69,2.2946082648639594+0.2868033867406673j,2.294608265,0.286803387,-0.651560841
70,0.5848828457324794+0.12122247988080614j,0.584882846,0.12122248,-0.243438471
71,2.1725208966166525+2.047920623202714j,2.172520897,2.047920623,-0.034565857
72,0.5631193680457292+2.1863268853339717j,0.563119368,2.186326885,0.593634752
73,0.9700660825720592+2.1990990919268563j,0.970066083,2.199099092,0.448693691
74,1.9268214133373651+1.5535721305322965j,1.926821413,1.553572131,-0.141231163
75,1.5397440752426603+0.6104689806070898j,1.539744075,0.610468981,-0.62487603
76,0.8547148227972577+1.7026654904349514j,0.854714823,1.70266549,0.478833838
77,2.209180482093401+0.540908094236681j,2.209180482,0.540908094,-0.59875753
78,1.4079163414352265+0.49669570810377084j,1.407916341,0.496695708,-0.690206652
79,2.0387691809232225+0.05845494744927349j,2.038769181,0.058454947,-0.667507228
80,0.6314616751845425+0.2933024946967202j,0.631461675,0.293302495,-0.270527983
81,2.2003948162822313+0.6474813672725996j,2.200394816,0.647481367,-0.567221343
82,2.307420907345336+2.520731790590043j,2.307420907,2.520731791,0.047975276
83,0.2392569422398233+1.9033196463248692j,0.239256942,1.903319646,0.688746621
84,1.3670895597434114+0.39480685370582j,1.36708956,0.394806854,-0.684336095
85,0.6379985227015265+2.4181785628355406j,0.637998523,2.418178563,0.562861187
86,1.1242637923609218+2.163514362192282j,1.124263792,2.163514362,0.381323812
87,2.260540983739805+0.6909346021663167j,2.260540984,0.690934602,-0.551428687
88,2.146496708876528+0.38513854960739846j,2.146496709,0.38513855,-0.642037533
89,0.18925377817106914+0.2721932628857642j,0.189253778,0.272193263,0.045028949
90,1.8087727116164642+0.8676695256807286j,1.808772712,0.867669526,-0.477018097
91,0.0001818414383886191+0.26058090763481645j,0.000181841,0.260580908,0.096975131
92,1.5789335523952615+0.14767257780442544j,1.578933552,0.147672578,-0.628122385
93,2.0866005959031275+1.7121023056388904j,2.086600596,1.712102306,-0.122082831
94,0.42699713177699117+2.537002309119581j,0.426997132,2.537002309,0.609582533
95,1.6052015193285454+0.21118169383860264j,1.605201519,0.211181694,-0.655583107
96,1.7951656497881785+2.710744469880079j,1.79516565,2.71074447,0.218670186
97,1.8790959152799014+2.9196789294321652j,1.879095915,2.919678929,0.22499478
98,1.7779166908336166+2.3244113353763094j,1.777916691,2.324411335,0.155279818
99,1.8471874612604768+0.10507610379499566j,1.847187461,0.105076104,-0.65844223
100,1.4922289119185526+1.045917861338756j,1.492228912,1.045917861,-0.301463335
101,0.14945709808077834+2.7766694058753063j,0.149457098,2.776669406,0.646067017
102,1.9026650407247714+1.7161630062995243j,1.902665041,1.716163006,-0.066783537
103,2.6298666816957805+2.2915346841966624j,2.629866682,2.291534684,-0.073725977
104,0.4919833448406211+1.2597432706407803j,0.491983345,1.259743271,0.710301912
105,0.7674786168097303+1.891249332177252j,0.767478617,1.891249332,0.529145256
106,0.6029769586675492+1.1277835142363661j,0.602976959,1.127783514,0.700155883
107,0.3785650430749463+2.1588490648539764j,0.378565043,2.158849065,0.642599587
108,0.23203256662194094+0.9583889291009099j,0.232032567,0.958388929,0.28878095
109,2.304706463413269+1.6288178380724951j,2.304706463,1.628817838,-0.202443951
110,0.05726891838119064+0.8414391508591795j,0.057268918,0.841439151,0.270615294
111,1.7099083008897646+2.6296201601689546j,1.709908301,2.62962016,0.231619724
112,1.5555511428162636+0.43082176608441836j,1.555551143,0.430821766,-0.687591686
113,1.633278925569054+1.781620465375374j,1.633278926,1.781620465,0.058993419
114,1.7600940125561226+1.1922287671192517j,1.760094013,1.192228767,-0.27889232
115,1.6173176319960012+2.6183115894333344j,1.617317632,2.618311589,0.258397684
116,2.410358243192913+1.297451821025908j,2.410358243,1.297451821,-0.339818847
117,1.9791194033529302+2.156619309045468j,1.979119403,2.156619309,0.050813761
118,1.1418670509092705+2.3453438076863096j,1.141867051,2.345343808,0.391315039
119,2.512203714916297+0.8260597715075684j,2.512203715,0.826059772,-0.506522523
120,1.6979963796130966+1.3594286574042376j,1.69799638,1.359428657,-0.162739097
121,0.5080375269836279+0.6242423512508448j,0.508037527,0.624242351,0.103823545
122,1.6140041615819567+2.940627778312086j,1.614004162,2.940627778,0.297904722
123,2.2145577984882343+1.833309402515773j,2.214557798,1.833309403,-0.111978239
124,1.7817922973570552+0.6701192017206477j,1.781792297,0.670119202,-0.5771613
125,0.22570484008969416+0.5110876773016216j,0.22570484,0.511087677,0.21730367
126,2.7696392911185925+0.42039675747262173j,2.769639291,0.420396757,-0.600672454
127,1.1964389225088554+0.8496249368212563j,1.196438923,0.849624937,-0.379184244
128,1.0296244869570916+2.5828848829427664j,1.029624487,2.582884883,0.444582352
129,1.709077824498626+2.656192655599041j,1.709077824,2.656192656,0.23580513
130,0.4970358467886996+1.824065288965207j,0.497035847,1.824065289,0.639371158
131,2.7987194701658282+2.6617001628325627j,2.79871947,2.661700163,-0.025784411
132,0.16630473345207564+0.8431094014763642j,0.166304733,0.843109401,0.267890766
133,0.12316676745054345+1.7779834264694556j,0.123166767,1.777983426,0.654465395
134,1.342220990641366+0.41317522508563276j,1.342220991,0.413175225,-0.687927664
135,1.112116300943696+0.047783627879725565j,1.112116301,0.047783628,-0.35826099
136,1.3325308446635113+2.6355433317002688j,1.332530845,2.635543332,0.350829761
137,2.276646074442482+0.4315818657436922j,2.276646074,0.431581866,-0.622744188
138,0.10138306826718169+1.6706898187296244j,0.101383068,1.670689819,0.630658059
139,2.3079155707427716+0.826034594041106j,2.307915571,0.826034594,-0.505673793
140,2.4760865497036177+1.169679797091674j,2.47608655,1.169679797,-0.391725403
141,0.2507508018153135+0.29837677785206285j,0.250750802,0.298376778,0.031032044
142,2.3844727759903086+2.840068428933276j,2.384472776,2.840068429,0.090686583
143,1.1980383720264776+2.985562313886195j,1.198038372,2.985562314,0.413619523
144,0.35689722214248965+0.15920729076098405j,0.356897222,0.159207291,-0.11184616
145,1.7149869305512202+1.7189184187241624j,1.714986931,1.718918419,0.001552622
146,1.8838479233151038+1.5153637766844426j,1.883847923,1.515363777,-0.145396119
147,0.10595143305037003+2.541444304883535j,0.105951433,2.541444305,0.664649182
148,1.8254606724896676+1.989965112006701j,1.825460672,1.989965112,0.053831191
149,2.6293339403107905+2.091408876683195j,2.62933394,2.091408877,-0.12360195
150,2.2180960688251847+1.4375262967508675j,2.218096069,1.437526297,-0.258200132
151,0.1783670868931857+2.79762711392042j,0.178367087,2.797627114,0.640826934
152,2.1263033248515626+0.9123749164073834j,2.126303325,0.912374916,-0.469196018
153,0.30450214891047933+0.14520889027378014j,0.304502149,0.14520889,-0.082147281
154,2.106609745069825+1.7271617767270229j,2.106609745,1.727161777,-0.121782843
155,0.8302281492062061+1.9757467240889934j,0.830228149,1.975746724,0.50078753
156,2.3962828048632607+1.6178997861448883j,2.396282805,1.617899786,-0.223334516
157,2.7556314103535975+0.43936301932730115j,2.75563141,0.439363019,-0.597492647
158,0.22380690509678303+1.205848482093594j,0.223806905,1.205848482,0.520903145
159,2.6291240969231353+1.7064651323460125j,2.629124097,1.706465132,-0.232587045
160,0.20762208295714535+1.9961331766232115j,0.207622083,1.996133177,0.686141193
161,1.3709427985561933+1.655676358971287j,1.370942799,1.655676359,0.140498881
162,1.241437458222769+2.0865694054464985j,1.241437458,2.086569405,0.319215788
163,1.8290750728860452+1.6803635675614441j,1.829075073,1.680363568,-0.056302936
164,0.7486110010763654+1.0183848454192848j,0.748611001,1.018384845,0.376147783
165,2.0032923958074766+0.6464554265911322j,2.003292396,0.646455427,-0.575661317
166,0.35540319668776266+1.935084525476729j,0.355403197,1.935084525,0.665425668
167,1.4356291438344375+0.46589393599582785j,1.435629144,0.465893936,-0.694522927
168,0.07660391557255875+2.3626630455648128j,0.076603916,2.362663046,0.678848788
169,1.016986841209666+0.615447039243286j,1.016986841,0.615447039,-0.557463581
170,2.023486080688338+1.687676520715181j,2.023486081,1.687676521,-0.114155348
171,2.7321255306532097+0.8210306483336491j,2.732125531,0.821030648,-0.508407826
172,2.5414027711014353+2.535519318740153j,2.541402771,2.535519319,-0.001230837
173,1.8788651316382827+0.7378919472156776j,1.878865132,0.737891947,-0.542870653
174,1.223674548690318+0.6267286853984905j,1.223674549,0.626728685,-0.659770986
175,1.9144785318846078+2.430449464154628j,1.914478532,2.430449464,0.134457984
176,0.3579351317531978+0.7890937772906849j,0.357935132,0.789093777,0.233968532
177,2.521657084566826+1.382239003173438j,2.521657085,1.382239003,-0.322654447
178,2.3442422387533113+2.7793912438514625j,2.344242239,2.779391244,0.089136566
179,2.316590446905958+2.852112272933138j,2.316590447,2.852112273,0.107913449
180,0.5689188992269117+2.258149151007643j,0.568918899,2.258149151,0.588416308
181,0.5785824388586701+0.9691041464077916j,0.578582439,0.969104146,0.475825496
182,1.976282970148585+2.0949641983505964j,1.97628297,2.094964198,0.034902518
183,2.9163123103188124+2.2658351979832516j,2.91631231,2.265835198,-0.129912426
184,0.5908121327819423+2.959053113924989j,0.590812133,2.959053114,0.560189596
185,1.6334456893984446+0.66361651544551j,1.633445689,0.663616515,-0.589363089
186,2.7535670569445774+1.0360468048710505j,2.753567057,1.036046805,-0.448880257
187,1.7035052814178573+0.6878456385318582j,1.703505281,0.687845639,-0.572826647
188,1.446152337127322+0.3699669138483085j,1.446152337,0.369966914,-0.687235381
189,0.10635356572657295+0.5102788910679198j,0.106353566,0.510278891,0.211738256
190,2.1277439666993976+1.6127436879910788j,2.127743967,1.612743688,-0.170082405
191,1.650238043227612+2.1361417104618674j,1.650238043,2.13614171,0.157760486
192,1.818531695132532+0.5225571436505698j,1.818531695,0.522557144,-0.631778362
193,0.9175960428520675+0.9420472811910442j,0.917596043,0.942047281,0.03285985
194,0.6706510884932323+2.427679015915248j,0.670651088,2.427679016,0.553383709
195,0.19265690944083758+1.401509706533155j,0.192656909,1.401509707,0.598344952
196,0.14681472529187334+1.0781265483068965j,0.146814725,1.078126548,0.375778007
197,1.51046124342917+1.8623140742245594j,1.510461243,1.862314074,0.141011681
198,0.00019518658728157057+0.48141516805454565j,0.000195187,0.481415168,0.197050215
199,0.1370832185075429+2.3016392737270612j,0.137083219,2.301639274,0.674840832
200,1.387509002257853+2.0008047452155022j,1.387509002,2.000804745,0.235422727
201,2.9803909557113775+2.271045704622245j,2.980390956,2.271045705,-0.13864064
202,0.3017609104929039+0.08118062209932497j,0.30176091,0.081180622,-0.09897614
203,2.1379862208860203+1.7781666358421622j,2.137986221,1.778166636,-0.111662508
204,1.3228996785629512+1.5645715820752615j,1.322899679,1.564571582,0.131476169
205,1.9190831894034697+1.5295438730699957j,1.919083189,1.529543873,-0.149527061
206,1.6048943968864724+2.922021480937674j,1.604894397,2.922021481,0.298475008
207,1.6358831886972125+1.5855310092652477j,1.635883189,1.585531009,-0.022383278
208,2.0682567519000163+1.3898126890668088j,2.068256752,1.389812689,-0.249141599
209,0.6420428947741289+0.3256304091389264j,0.642042895,0.325630409,-0.265161148
210,2.7215444675951264+0.17234155657839312j,2.721544468,0.172341557,-0.64551946
211,2.7237318444885323+0.8503841485230262j,2.723731844,0.850384149,-0.500461586
212,2.2844288953933685+0.23651808458513368j,2.284428895,0.236518085,-0.660996221
213,2.588193483836016+2.7881356025739517j,2.588193484,2.788135603,0.038438757
214,1.9581203422201932+0.09985859638386507j,1.958120342,0.099858596,-0.669081717
215,1.7444445419719479+1.9718700046635727j,1.744444542,1.971870005,0.077633617
216,0.41841064363485136+1.1515570708325342j,0.418410644,1.151557071,0.618011358
217,2.231603616039618+1.341921830502771j,2.231603616,1.341921831,-0.298942401
218,0.339483965633525+2.9337725778148256j,0.339483966,2.933772578,0.608917417
219,1.3129904202462042+1.8645323327556889j,1.31299042,1.864532333,0.238758184
220,2.4683878654581295+1.2659575350012724j,2.468387865,1.265957535,-0.357249282
221,2.221685443029677+2.3427990192153487j,2.221685443,2.342799019,0.029709476
222,1.3041672652462366+2.3105123554775746j,1.304167265,2.310512355,0.325159785
223,1.9179548987825092+0.4319426789923513j,1.917954899,0.431942679,-0.649101369
224,1.9867388896834473+0.7585850207451642j,1.98673889,0.758585021,-0.532091891
225,1.9704978527340604+1.3348645815712046j,1.970497853,1.334864582,-0.253304418
226,2.749101605573477+0.3734256010021654j,2.749101606,0.373425601,-0.610497628
227,2.2118467873715635+0.9847137973299354j,2.211846787,0.984713797,-0.443449899
228,2.9567571748191392+1.1445707765274422j,2.956757175,1.144570777,-0.426511477
229,1.275056954925823+0.8078870208139923j,1.275056955,0.807887021,-0.464666982
230,0.7508258996914681+2.5258236449975726j,0.7508259,2.525823645,0.528704038
231,0.40444745497101553+2.473532334743843j,0.404447455,2.473532335,0.617554451
232,2.8662402995056935+0.5682037828642502j,2.8662403,0.568203783,-0.567212948
233,0.588154371413547+0.28595605700297433j,0.588154371,0.285956057,-0.266636222
234,2.4773995233848085+0.15215691988584623j,2.477399523,0.15215692,-0.661927242
235,0.7643475273347602+2.072513123308909j,0.764347527,2.072513123,0.528814808
236,2.7871623092908773+2.2498172757463477j,2.787162309,2.249817276,-0.112348316
237,0.7271928334486312+2.5782165882738486j,0.727192833,2.578216588,0.534730481
238,2.815770724607357+1.3632826572532817j,2.815770725,1.363282657,-0.356979604
239,0.7773830020974558+0.7881809993343466j,0.777383002,0.788180999,0.014801117
240,1.9399794490652251+0.9891656060567475j,1.939979449,0.989165606,-0.422245592
241,1.0775066999706968+2.1371233340083746j,1.0775067,2.137123334,0.398995543
242,1.8530408322291878+2.188797179553686j,1.853040832,2.18879718,0.099115476
243,0.7292702013609986+1.2831685841354576j,0.729270201,1.283168584,0.554852795
244,0.6123795828823773+1.640790734744828j,0.612379583,1.640790735,0.613689005
245,1.9696940203064905+0.01877461344171205j,1.96969402,0.018774613,-0.651542552
246,0.11119518414189111+1.6603804798787567j,0.111195184,1.66038048,0.631938194
247,2.9343659857418127+0.9905514493645069j,2.934365986,0.990551449,-0.466184175
248,2.150390550665145+2.2085497410007333j,2.150390551,2.208549741,0.015339434
249,2.719091034332035+0.10850941586277885j,2.719091034,0.108509416,-0.654695973
250,2.604117875230674+2.0906794912278412j,2.604117875,2.090679491,-0.119095643
251,2.8210486346360124+0.897541087789238j,2.821048635,0.897541088,-0.488620977
252,2.778051627382552+1.169706051449488j,2.778051627,1.169706051,-0.411102066
253,1.994519469095881+1.6456312554787735j,1.994519469,1.645631255,-0.12243957
254,2.996521669727328+1.091435594434723j,2.99652167,1.091435594,-0.441864444
255,1.6201941134855056+0.7952269901453983j,1.620194113,0.79522699,-0.512737448
256,2.951571520873871+0.19997188198877092j,2.951571521,0.199971882,-0.630494756
257,0.5380422080342391+1.4881798111657663j,0.538042208,1.488179811,0.663910908
258,0.45377108226385365+1.3636018413382356j,0.453771082,1.363601841,0.706357109
259,0.29092112926205194+0.9632792520194938j,0.290921129,0.963279252,0.323583442
260,2.8579451379641916+0.9246370851248901j,2.857945138,0.924637085,-0.48195841
261,2.457283599801456+1.3944303531623743j,2.4572836,1.394430353,-0.31067822
262,2.7194981283003115+2.140990280489775j,2.719498128,2.14099028,-0.127095983
263,1.1802076261965202+1.9341440082097003j,1.180207626,1.934144008,0.323014927
264,0.8836446560866641+1.2849685366863453j,0.883644656,1.284968537,0.380381585
265,2.9357954668357795+1.8199289202132003j,2.935795467,1.81992892,-0.24246209
266,2.8421879981194755+2.0663684220847394j,2.842187998,2.066368422,-0.166055615
267,0.5216398203243281+1.8078514190342307j,0.52163982,1.807851419,0.633054699
268,1.936579757322384+2.284818208052962j,1.936579757,2.284818208,0.095841658
269,1.1050530557886402+2.9463796659185943j,1.105053056,2.946379666,0.436584191
270,1.3316274769030456+0.3115628418081289j,1.331627477,0.311562842,-0.634061291
271,0.831432322166073+2.1238484094805874j,0.831432322,2.123848409,0.502224903
272,1.335400254536752+1.1901967302599001j,1.335400255,1.19019673,-0.105880047
273,2.7101537854558946+2.3512303097610374j,2.710153785,2.35123031,-0.075020344
274,1.8251643514868328+2.0213536135145476j,1.825164351,2.021353614,0.063255713
275,0.8837090439709041+0.017809555971629698j,0.883709044,0.017809556,-0.270643915
276,0.44001903306391543+0.286487476864283j,0.440019033,0.286487477,-0.141855907
277,2.453933075019549+1.161425621339359j,2.453933075,1.161425621,-0.392918975
278,0.5755359353812686+2.1980010861817227j,0.575535935,2.198001086,0.589410578
279,1.9710891218357354+1.7501212735877252j,1.971089122,1.750121274,-0.07528284
280,1.7804347911971516+2.6993042149047586j,1.780434791,2.699304215,0.221200299
281,1.5871033637122425+2.363522096411169j,1.587103364,2.363522096,0.228250143
282,2.681057805045312+0.1664296446768353j,2.681057805,0.166429645,-0.648490597
283,0.30022982051801284+0.3496106049564971j,0.300229821,0.349610605,0.040527914
284,1.583403825110384+1.5117553613308716j,1.583403825,1.511755361,-0.03438128
285,1.4300001323183595+1.697942160878328j,1.430000132,1.697942161,0.124381899
286,2.2596000955048092+1.2987483769201376j,2.259600096,1.298748377,-0.320455231
287,2.4584186264972745+0.35423928577855357j,2.458418626,0.354239286,-0.628622587
288,2.121584190213791+2.0467042156192585j,2.12158419,2.046704216,-0.021208065
289,1.1868997676435717+1.1385999498129435j,1.186899768,1.13859995,-0.042665432
290,2.6538616296266158+0.44644302334159613j,2.65386163,0.446443023,-0.600204818
291,0.6253307332394258+1.1761977575972842j,0.625330733,1.176197758,0.668788261
292,2.714834223991596+1.48398854683685j,2.714834224,1.483988547,-0.311469223
293,1.6905853853593809+2.8673072827480923j,1.690585385,2.867307283,0.26889559
294,2.530529494963179+1.829581702930546j,2.530529495,1.829581703,-0.179146342
295,0.18142665719826045+0.9280366408738691j,0.181426657,0.928036641,0.261435645
296,1.741920144673977+1.2272213746254304j,1.741920145,1.227221375,-0.253266261
297,1.315605331886593+2.7757110123251665j,1.315605332,2.775711012,0.367860154
298,0.6188576754564242+0.7964788794364015j,0.618857675,0.796478879,0.134844758
299,0.8273526445977649+2.3053421654528807j,0.827352645,2.305342165,0.505202098
300,0.3473761042586667+2.3556579536987283j,0.347376104,2.355657954,0.636044987
301,1.4675770410908866+1.2562666793647845j,1.467577041,1.256266679,-0.130007098
302,0.19623230780756962+2.5506212058918907j,0.196232308,2.550621206,0.651096042
303,1.926245846966293+2.4004937489207836j,1.926245847,2.400493749,0.124716359
304,2.747195106180423+2.8793001095242814j,2.747195106,2.87930011,0.02382944
305,0.9113675971181675+1.6640127964904026j,0.911367597,1.664012796,0.439339777
306,1.1758614080983234+1.5315414838408716j,1.175861408,1.531541484,0.216181222
307,1.1935525264003162+0.4088225205089683j,1.193552526,0.408822521,-0.636559874
308,2.2423083652965814+0.11379623349867662j,2.242308365,0.113796233,-0.681673461
309,0.843905964636134+1.3252295465341453j,0.843905965,1.325229547,0.438353562
310,1.3399017948840073+0.10375039714762802j,1.339901795,0.103750397,-0.530525636
311,1.593352267802254+1.0906420756544983j,1.593352268,1.090642076,-0.299360502
312,2.2283498780752122+0.6800928951927292j,2.228349878,0.680092895,-0.555800895
313,0.8657470983809512+2.085894642010868j,0.865747098,2.085894642,0.487512901
314,1.2991046023859054+1.6141385551282947j,1.299104602,1.614138555,0.16674104
315,0.11327458740515806+0.497803838989633j,0.113274587,0.497803839,0.205737535
316,2.7808360860717003+2.099318918592954j,2.780836086,2.099318919,-0.147980566
317,0.6214963266946889+2.3840658052330204j,0.621496327,2.384065805,0.568556817
318,1.5851174750881887+1.018401855114203j,1.585117475,1.018401855,-0.349912081
319,2.876865373909863+2.7235241621248116j,2.876865374,2.723524162,-0.02783635
320,0.08642290152813037+1.9029158098188268j,0.086422902,1.90291581,0.660221743
321,1.6202136388838646+2.5223477956944205j,1.620213639,2.522347796,0.243378613
322,1.394874280907219+1.9750823310526626j,1.394874281,1.975082331,0.225969348
323,0.9091127564185013+2.8309931103752777j,0.909112756,2.83099311,0.485681579
324,2.676072709655081+0.47627223518677697j,2.67607271,0.476272235,-0.593027449
325,1.593171568010522+2.609947798365503j,1.593171568,2.609947798,0.26479102
326,1.4568164581335372+1.5700562453059694j,1.456816458,1.570056245,0.056681991
327,0.2616974340040831+2.40536510606914j,0.261697434,2.405365106,0.64894678
328,0.3638545482944966+1.9914373127992313j,0.363854548,1.991437313,0.658808136
329,2.3349462166014656+0.8970660123382471j,2.334946217,0.897066012,-0.48114383
330,2.5405573442223153+2.221746941743815j,2.540557344,2.221746942,-0.072989729
331,1.4898240700230443+0.16232882748828958j,1.48982407,0.162328827,-0.612063682
332,0.8271331689419096+2.347178076774278j,0.827133169,2.347178077,0.505505073
333,2.493157175446128+2.147019167826943j,2.493157175,2.147019168,-0.082325164
334,0.8617789866676692+0.5248166373039563j,0.861778987,0.524816637,-0.25253201
335,2.809247629875305+2.646694049576166j,2.80924763,2.64669405,-0.03061722
336,0.15949331025751845+0.9696202286053599j,0.15949331,0.969620229,0.27048411
337,2.790394470981107+2.9437015794235446j,2.790394471,2.943701579,0.02692486
338,2.1559005069448927+2.3552396608639032j,2.155900507,2.355239661,0.04972064
339,1.8110167985673808+1.9923466549571844j,1.811016799,1.992346655,0.059621599
340,0.8890024090655331+2.4148551764521535j,0.889002409,2.414855176,0.485497018
341,0.4864486919573998+1.6630857258029739j,0.486448692,1.663085726,0.659370133
342,2.000067594433732+0.42782594244692784j,2.000067594,0.427825942,-0.643195995
343,2.7256066844917566+2.8571204318584837j,2.725606684,2.857120432,0.023985203
344,0.36605213508800205+2.847592903621862j,0.366052135,2.847592904,0.607700705
345,1.70062184495193+0.5125837966642747j,1.700621845,0.512583797,-0.646749759
346,1.5820500240911861+1.7930918773884783j,1.582050024,1.793091877,0.085454883
347,2.192243114482392+2.0933366642846463j,2.192243114,2.093336664,-0.026786016
348,2.117620298013806+0.6065526555605866j,2.117620298,0.606552656,-0.583835642
349,0.10169823874422823+2.371596357044224j,0.101698239,2.371596357,0.675170403
350,1.9057938740927143+1.5733983355977939j,1.905793874,1.573398336,-0.12632366
351,2.2982543605590533+0.6299453592821859j,2.298254361,0.629945359,-0.569096399
352,0.0328156610827387+1.7155893331083136j,0.032815661,1.715589333,0.617252093
353,0.021302785468758634+2.0466884748158445j,0.021302785,2.046688475,0.660284643
354,2.2939785132051167+2.04596928816263j,2.293978513,2.045969288,-0.065612062
355,1.8029259165742255+1.863721175744634j,1.802925917,1.863721176,0.021353408
356,2.1719703295757293+1.2692762285081192j,2.17197033,1.269276229,-0.320091219
